,,,"Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Finland","2016","18+  years","16.6 [12.9-21.0]","17.2 [13.6-21.5]","16.0 [12.2-20.6]","18.7 [14.6-23.6]","18.9 [15.0-23.5]","18.5 [14.3-23.7]"
"France","2016","18+  years","29.3 [23.5-35.9]","24.3 [19.4-29.9]","34.0 [27.3-41.4]","32.3 [26.1-39.0]","26.6 [21.4-32.5]","37.5 [30.5-45.1]"
"Gabon","2016","18+  years","25.3 [18.5-33.5]","17.7 [12.6-24.2]","33.2 [24.6-43.1]","24.3 [17.7-32.3]","16.3 [11.5-22.5]","32.6 [24.1-42.4]"
"Gambia","2016","18+  years","21.1 [16.0-27.1]","16.0 [12.0-20.9]","25.9 [19.8-33.0]","19.2 [14.6-24.9]","14.2 [10.6-18.7]","24.0 [18.3-30.8]"
"Georgia","2016","18+  years","18.0 [12.8-24.6]","17.3 [12.6-23.1]","18.6 [12.9-25.9]","19.0 [13.6-25.9]","17.9 [13.1-23.9]","19.9 [14.0-27.6]"
"Germany","2016","18+  years","42.2 [35.5-49.2]","40.2 [34.0-46.7]","44.1 [36.9-51.6]","45.8 [39.0-52.8]","43.5 [37.2-50.1]","48.0 [40.7-55.4]"
"Ghana","2016","18+  years","21.8 [17.3-26.3]","18.6 [14.6-22.6]","24.8 [19.9-29.8]","20.3 [16.0-24.6]","16.9 [13.2-20.7]","23.4 [18.7-28.2]"
"Greece","2016","18+  years","37.7 [30.9-44.9]","33.9 [27.9-40.5]","41.1 [33.7-49.0]","40.6 [33.6-47.9]","36.5 [30.3-43.3]","44.3 [36.7-52.2]"
"Grenada","2016","18+  years","28.7 [21.4-37.2]","21.9 [16.0-29.1]","35.4 [26.8-45.1]","28.1 [21.0-36.5]","20.8 [15.2-27.9]","35.3 [26.7-45.0]"
"Guatemala","2016","18+  years","37.1 [27.9-47.4]","37.1 [28.4-46.7]","37.1 [27.5-47.9]","35.5 [26.5-45.6]","35.3 [26.8-44.8]","35.7 [26.3-46.4]"
"Guinea","2016","18+  years","14.5 [10.8-19.1]","10.6 [7.9-14.2]","18.4 [13.8-24.1]","13.5 [10.1-17.9]","9.6 [7.1-12.8]","17.5 [13.0-23.0]"
"Guinea-Bissau","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Guyana","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Haiti","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Honduras","2016","18+  years","No data","No data","No data","No data","No data","No data"
